"State","HouseholdIncome","PerCapitaIncome"
"New Jersey","114691","42745"
"Connecticut","113031","44496"
"Massachusetts","111498","43761"
"Maryland","111417","42122"
"California","106916","36955"
"Hawaii","103780","35567"
"New York","101945","39326"
"Virginia","101746","39278"
"New Hampshire","99165","40003"
"Washington","98983","38915"
"Alaska","98606","36787"
"Colorado","96970","38226"
"Minnesota","93925","37625"
"Illinois","92395","36038"
"Utah","91292","29775"
"Delaware","90092","35450"
"Rhode Island","89093","36121"
"Texas","87260","31277"
"North Dakota","85476","36062"
"Pennsylvania","84849","34352"
"Oregon","84258","33763"
"Georgia","82406","31067"
"Wyoming","81880","33366"
"Nevada","81496","31557"
"Vermont","81233","34577"
"Arizona","80779","30694"
"Wisconsin","80674","33375"
"Florida","80286","31619"
"Nebraska","80208","32302"
"Kansas","80009","31814"
"Iowa","78411","32176"
"Michigan","78400","31713"
"Ohio","76958","31552"
"North Carolina","76940","30783"
"South Dakota","76240","30773"
"Maine","76227","32637"
"Missouri","76060","30810"
"Indiana","75025","29777"
"Tennessee","74750","29859"
"Montana","74190","31151"
"Idaho","73810","27970"
"South Carolina","73520","29426"
"Oklahoma","72695","28422"
"Louisiana","71001","27923"
"Kentucky","70144","28178"
"Alabama","69842","27928"
"New Mexico","69077","27230"
"Arkansas","66557","26577"
"West Virginia","63680","26480"
"Mississippi","62835","24369"